SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
Alto Balalaika [notation],instrument.fretted.balalaika.alto.5lines,,
Alto Balalaika [tab],instrument.fretted.balalaika.alto.tab,,
Bass Balalaika [notation],instrument.fretted.balalaika.bass.5lines,,
Bass Balalaika [tab],instrument.fretted.balalaika.bass.tab,,
Contrabass Balalaika [notation],instrument.fretted.balalaika.contrabass.5lines,,
Contrabass Balalaika [tab],instrument.fretted.balalaika.contrabass.tab,,
Prima Balalaika [notation],instrument.fretted.balalaika.prima.5lines,,
Prima Balalaika [tab],instrument.fretted.balalaika.prima.tab,,
Second Balalaika [notation],instrument.fretted.balalaika.second.5lines,,
Second Balalaika [tab],instrument.fretted.balalaika.second.tab,,
Bandola [notation],instrument.fretted.bandola.5lines,,
Bandola [tab],instrument.fretted.bandola.tab,,
Bandolón [notation],instrument.fretted.bandolon.5lines,,
Bandolón [tab],instrument.fretted.bandolon.tab,,
Bandurria [notation],instrument.fretted.bandurria.5lines,,
Bandurria [tab],instrument.fretted.bandurria.tab,,
Banjo [notation],instrument.fretted.banjo.5lines,*Ibanjo,
Banjo (aDADE tuning) [tab],instrument.fretted.banjo.aDADE.tab,*Ibanjo,
Banjo (aEADE tuning) [tab],instrument.fretted.banjo.aEADE.tab,*Ibanjo,
Banjo (gCGBD tuning) [tab],instrument.fretted.banjo.gCGBD.tab,*Ibanjo,
Banjo (gCGCD tuning) [tab],instrument.fretted.banjo.gCGCD.tab,*Ibanjo,
Banjo (gDF#AD tuning) [tab],instrument.fretted.banjo.gDFAD.tab,*Ibanjo,
Banjo (gDGBD tuning) [tab],instrument.fretted.banjo.gDGBD.tab,*Ibanjo,
Banjo (gDGCD tuning) [tab],instrument.fretted.banjo.gDGCD.tab,*Ibanjo,
Tenor Banjo [notation],instrument.fretted.banjo.tenor.5lines,*Ibanjo,
Tenor Banjo [tab],instrument.fretted.banjo.tenor.tab,*Ibanjo,
Bordonúa [notation],instrument.fretted.bordonua.5lines,,
Bordonúa [tab],instrument.fretted.bordonua.tab,,
Cavaquinho [notation],instrument.fretted.cavaquinho.5lines,,
Cavaquinho [tab],instrument.fretted.cavaquinho.tab,,
Charango [notation],instrument.fretted.charango.5lines,,
Charango [tab],instrument.fretted.charango.tab,,
Cuatro [notation],instrument.fretted.cuatro.5lines,,
"Cuatro, Puerto Rico [tab]",instrument.fretted.cuatro.puerto-rico.tab,,
"Cuatro, Venezuela [tab]",instrument.fretted.cuatro.venezuela.tab,,
Resonator guitar [notation],instrument.fretted.guitar.resonator.5lines,*Iguitr,Is this ok?
"Resonator Guitar, A6 tuning [tab]",instrument.fretted.guitar.resonator.a6.tab,*Iguitr,Is this ok?
"Resonator Guitar, B11 tuning [tab]",instrument.fretted.guitar.resonator.b11.tab,*Iguitr,Is this ok?
"Resonator Guitar, C#m tuning [tab]",instrument.fretted.guitar.resonator.c#m.tab,*Iguitr,Is this ok?
"Resonator Guitar, C6+A7 tuning [tab]",instrument.fretted.guitar.resonator.c6-a7.tab,*Iguitr,Is this ok?
"Resonator Guitar, C6 + high G tuning [tab]",instrument.fretted.guitar.resonator.c6-highg.tab,*Iguitr,Is this ok?
"Resonator Guitar, standard tuning [tab]",instrument.fretted.guitar.resonator.c6.tab,*Iguitr,Is this ok?
"Resonator Guitar, C#m7 tuning [tab]",instrument.fretted.guitar.resonator.cm7.tab,*Iguitr,Is this ok?
